N.;Folio;Chip;Direccion;Proyecto
280;50C00478524;AAA0032TUKL;KR 11 3 74;SAN BERNARDO
281;50C00238206;AAA0032TWNN;KR 10A 3A 16;SAN BERNARDO
282;50C00245136;AAA0032SOUH;KR 12 4 30;SAN BERNARDO
283;50C00338986;AAA0032TYBR;CL 3A 10 73;SAN BERNARDO
284;50C00862573;AAA0032PWWF;CL 5 12A 44;SAN BERNARDO
285;50C00027261;AAA0032TRRJ;CL 4 10A 04;SAN BERNARDO
286;50C00570891;AAA0032TUBR;KR 11 3 10;SAN BERNARDO
287;50C00570892;AAA0194YEJH;KR 11 3 12;SAN BERNARDO
288;50C00566713;AAA0032TWUZ;CL 4 10 55;SAN BERNARDO
289;50C01308122;AAA0032TOXR;CL 5 10A 32;SAN BERNARDO
290;50C00125448;AAA0032TWRU;CL 4 10 81;SAN BERNARDO
291;50C01418188;AAA0032TPDE;KR 11 5 32;SAN BERNARDO
292;50C01898810;AAA0245CFZM;KR 12 5A 13;SAN BERNARDO
293;50C00552340;AAA0032SRJH;KR 11A 4A 16;SAN BERNARDO
294;50C00480786;AAA0032SPPP;KR 12 4A 46;SAN BERNARDO
295;50C00763612;AAA0032SOLF;CL 4 11A 34;SAN BERNARDO
296;50C00372571;AAA0032TSDM;KR 11 4 90;SAN BERNARDO
297;50C00500646;AAA0032TFNX;CL 4 11 25;SAN BERNARDO
298;50C00793495;AAA0032SWTD;KR 11B 3 64;SAN BERNARDO
299;50C00737416;AAA0032STKL;KR 11B 3 37;SAN BERNARDO
300;50C00232576;AAA0032TULW;KR 11 3 82;SAN BERNARDO
301;50C00388553;AAA0032SPDM;CL 4A 11A 54;SAN BERNARDO
302;50C00058630;AAA0032SPOE;KR 12 4A 36;SAN BERNARDO
303;50C00889948;AAA0032TWHY;CL 3A 10 62 IN 101 AP 101;SAN BERNARDO
304;50C00285378;AAA0032TUMS;KR 11 3 88;SAN BERNARDO
305;50C00229498;AAA0032TFKC;KR 11A 3 90;SAN BERNARDO
